2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | MQTT | Publicando em plant_monitor/152/MOCK (102 bytes)
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | DEBUG    | MQTT | Publicando em plant_monitor/152/MOCK (102 bytes)
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:16 | INFO     | API_CLIENT | Enviando Status de online para Api.
2026-04-05 03:31:16 | INFO     | SENSOR_POOL | Descoberta de sensores iniciada
2026-04-05 03:31:16 | DEBUG    | API_CLIENT | Requisitando sensores da API
2026-04-05 03:31:16 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | SENSOR_WORKER | Leitura realizada com sucesso
2026-04-05 03:31:17 | DEBUG    | API_CLIENT | Sensores retornados com sucesso
2026-04-05 03:31:17 | INFO     | SENSOR_WORKER | Atualizando parâmetros do sensor
